"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2024","158.50","159.75","159.75","158.25","140.30K","-0.78%"
"02/21/2024","159.75","160.00","161.50","158.25","388.60K","-0.16%"
"02/20/2024","160.00","162.25","162.25","160.00","89.36K","-1.39%"
"02/19/2024","162.25","164.75","164.75","160.00","10.19K","-0.46%"
"02/16/2024","163.00","165.00","165.00","163.00","324.72K","0.46%"
"02/15/2024","162.25","164.00","164.00","162.00","127.11K","-0.46%"
"02/14/2024","163.00","162.25","164.00","162.00","11.53K","0.62%"
"02/13/2024","162.00","164.00","164.00","162.00","21.71K","-0.61%"
"02/12/2024","163.00","161.50","165.00","161.50","57.78K","1.56%"
"02/09/2024","160.50","161.00","165.00","160.00","245.57K","-0.62%"
"02/08/2024","161.50","160.00","165.00","160.00","103.01K","0.94%"
"02/07/2024","160.00","167.00","167.00","160.00","59.54K","-0.62%"
"02/06/2024","161.00","159.00","167.00","159.00","166.31K","1.26%"
"02/02/2024","159.00","160.00","160.00","157.00","57.11K","0.63%"
"02/01/2024","158.00","159.00","160.00","155.00","205.66K","1.61%"
"01/31/2024","155.50","154.00","155.50","154.00","608.12K","0.32%"
"01/30/2024","155.00","155.00","155.00","153.00","336.65K","0.00%"
"01/29/2024","155.00","157.25","157.50","155.00","102.45K","-1.59%"
"01/26/2024","157.50","158.75","158.75","157.50","4.14K","-0.32%"
"01/24/2024","158.00","159.00","159.00","158.00","9.91K","-0.63%"
"01/23/2024","159.00","159.00","159.00","157.00","5.48K","0.00%"
"01/22/2024","159.00","162.00","162.00","159.00","2.79K","0.00%"
"01/19/2024","159.00","160.25","164.00","159.00","13.36K","-0.63%"
"01/18/2024","160.00","161.25","162.00","159.50","51.23K","-0.62%"
"01/17/2024","161.00","163.75","163.75","161.00","18.11K","-1.68%"
"01/16/2024","163.75","164.00","164.00","163.00","52.71K","-0.15%"
"01/12/2024","164.00","165.00","165.00","164.00","9.63K","-0.61%"
"01/11/2024","165.00","165.00","166.00","164.00","3.52K","-0.90%"
"01/10/2024","166.50","166.50","167.75","165.00","114.68K","-0.60%"
"01/09/2024","167.50","168.00","168.00","167.00","3.52K","0.75%"
"01/08/2024","166.25","166.50","169.75","166.00","8.91K","-0.45%"
"01/05/2024","167.00","170.00","170.00","167.00","47.19K","-1.18%"
"01/04/2024","169.00","172.00","172.00","168.50","4.69K","-1.17%"
"01/03/2024","171.00","170.00","172.00","170.00","98.45K","0.59%"
"01/02/2024","170.00","166.00","171.00","166.00","131.04K","0.00%"
"12/29/2023","170.00","164.50","170.00","164.50","69.03K","2.10%"
"12/28/2023","166.50","167.00","167.00","166.50","2.03K","0.91%"
"12/27/2023","165.00","165.25","165.25","164.00","7.09K","0.00%"
"12/22/2023","165.00","166.00","168.00","164.00","259.08K","-1.20%"
"12/21/2023","167.00","165.00","168.00","165.00","134.72K","1.21%"
"12/20/2023","165.00","164.00","165.00","163.25","48.94K","1.07%"
"12/19/2023","163.25","165.50","165.50","163.25","49.70K","-0.91%"
"12/18/2023","164.75","167.00","167.00","164.75","67.70K","-1.35%"
"12/15/2023","167.00","167.75","168.25","166.00","18.40K","-0.60%"
"12/14/2023","168.00","168.50","169.00","165.25","13.81K","-0.30%"
"12/13/2023","168.50","169.00","169.00","167.25","14.26K","0.00%"
"12/12/2023","168.50","169.00","169.75","168.25","47.49K","0.00%"
"12/11/2023","168.50","168.50","170.00","168.25","145.79K","-0.15%"
"12/08/2023","168.75","168.50","170.00","168.50","99.74K","0.15%"
"12/07/2023","168.50","170.00","170.00","168.50","4.86K","-0.88%"
"12/06/2023","170.00","169.25","170.00","169.00","23.72K","0.00%"
"12/05/2023","170.00","170.00","170.00","169.00","11.39K","0.00%"
"12/04/2023","170.00","170.00","172.00","169.00","161.59K","0.00%"
"12/01/2023","170.00","169.75","170.00","169.00","197.23K","1.80%"
"11/30/2023","167.00","165.00","167.00","163.50","290.54K","1.21%"
"11/29/2023","165.00","164.00","165.75","163.25","20.13K","0.76%"
"11/28/2023","163.75","165.00","165.00","163.75","17.91K","-0.76%"
"11/27/2023","165.00","166.00","167.00","164.00","167.92K","-0.75%"
"11/24/2023","166.25","170.00","170.00","166.25","7.75K","-0.75%"
"11/23/2023","167.50","168.75","168.75","167.50","0.21K","0.30%"
"11/22/2023","167.00","169.00","169.00","167.00","4.57K","-0.30%"
"11/21/2023","167.50","167.75","170.00","167.50","67.88K","-0.30%"
"11/20/2023","168.00","168.00","168.00","167.00","3.77K","0.15%"
"11/17/2023","167.75","169.00","169.00","167.25","1.36K","-0.15%"
"11/16/2023","168.00","169.75","169.75","168.00","53.40K","-1.18%"
"11/15/2023","170.00","171.00","171.00","169.00","74.99K","0.00%"
"11/14/2023","170.00","170.00","175.00","169.00","152.78K","-2.86%"
"11/13/2023","175.00","174.75","175.00","170.00","83.40K","4.79%"
"11/10/2023","167.00","169.75","174.50","166.50","275.58K","-1.33%"
"11/09/2023","169.25","171.00","174.75","168.50","271.27K","-0.73%"
"11/08/2023","170.50","167.25","175.00","167.25","216.10K","2.10%"
"11/07/2023","167.00","164.25","167.00","164.00","38.64K","0.00%"
"11/06/2023","167.00","162.50","169.75","162.50","13.49K","3.09%"
"11/03/2023","162.00","166.00","167.75","162.00","112.05K","-1.82%"
"11/02/2023","165.00","165.00","167.00","165.00","61.63K","-1.49%"
"11/01/2023","167.50","164.75","167.50","164.75","53.08K","2.29%"
"10/31/2023","163.75","167.50","167.50","163.50","15.57K","-0.76%"
"10/30/2023","165.00","165.00","167.50","163.00","5.47K","-0.30%"
"10/27/2023","165.50","160.50","165.50","160.50","2.53K","1.53%"
"10/26/2023","163.00","163.75","163.75","159.00","153.23K","-0.61%"
"10/25/2023","164.00","165.00","165.00","164.00","1.25K","-0.61%"
"10/24/2023","165.00","166.50","166.75","165.00","2.84K","-1.20%"
